tower_id,tower_name,latitude,longitude,camp_name
1,A2 Structure Bhivpuri end,18.935732,73.453223,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
2,Loc. 01,18.935378,73.453458,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
3,Loc. 1A,18.935489,73.452524,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
4,Loc. 02,18.935527,73.451189,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
5,Loc. 03,18.936001,73.448755,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
6,Loc. 04,18.936296,73.446352,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
7,Loc. 05,18.936622,73.443654,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
8,Loc. 06,18.936902,73.441358,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
9,Loc. 07,18.937286,73.438352,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
10,Loc. 10,18.938339,73.42973,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
11,Loc. 08,18.937573,73.435311,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
12,Loc. 09,18.937896,73.432252,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
13,Loc. 18,18.935657,73.408379,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
14,Loc. 17,18.936228,73.411271,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
15,Loc. 16,18.936777,73.414072,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
16,Loc. 15,18.937337,73.416854,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
17,Loc. 14,18.9378,73.419298,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
18,Loc. 13,18.938398,73.422392,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
19,Loc. 11,18.938651,73.427415,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
20,Loc. 12,18.938943,73.425115,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
21,Loc. 19,18.935167,73.406015,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
22,Loc. 20,18.93463,73.403355,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
23,Loc. 21,18.933948,73.40004,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
24,Loc. 22,18.933444,73.39742,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
25,Loc. 23,18.932919,73.396137,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
26,Loc. 24,18.931925,73.393406,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
27,Loc. 25,18.931041,73.391136,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
28,Loc. 26,18.930108,73.388459,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
29,Loc. 27,18.929127,73.3857,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
30,Loc. 28,18.928229,73.383121,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
31,Loc. 29,18.927371,73.380706,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
32,Loc. 30,18.926458,73.378111,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
33,Loc. 31,18.925567,73.375603,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
34,Loc. 32,18.924683,73.373134,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
35,Loc. 33,18.923765,73.370591,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
36,Loc. 34,18.92284,73.367957,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
37,Loc. 36,18.92108,73.362993,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
38,Loc. 35,18.921911,73.365365,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
39,Loc. 37,18.920119,73.360305,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
40,Loc. 38,18.919286,73.3576,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
41,Loc. 39,18.917614,73.355278,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
42,Loc. 40,18.916069,73.352927,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
43,Loc. 41,18.914696,73.350874,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
44,Loc. 42,18.913706,73.349432,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
45,Loc. 43,18.912796,73.347477,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
46,Loc. 44,18.91167,73.345056,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
47,Loc. 45,18.91051,73.342545,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
48,Loc. 46,18.90923,73.339933,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
49,Loc. 48,18.90795,73.337354,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
50,Loc. 64,18.875259,73.324735,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
51,Loc. 63,18.875683,73.326005,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
52,Loc. 62,18.877061,73.326335,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
53,Loc. 60,18.881694,73.326548,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
54,Loc. 58,18.887184,73.327297,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
55,Loc. 57,18.890104,73.327689,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
56,Loc. 56,18.892773,73.328087,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
57,Loc. 55,18.895592,73.328486,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
58,Loc. 54,18.898159,73.328743,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
59,Loc. 53,18.9007,73.329158,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
60,Loc. 49,18.906587,73.334484,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
61,Loc. 52,18.902166,73.329998,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
62,Loc. 51,18.903816,73.331657,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
63,Loc. 50,18.905259,73.333133,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
64,Loc. 59,18.88441,73.326914,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
65,Loc. 61,18.878954,73.326151,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
66,LOC. 65,18.873324,73.323672,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
67,Loc. 66,18.871732,73.322319,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
68,Loc. 67,18.868864,73.321755,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
69,Loc. 68,18.865656,73.321091,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
70,Loc. 69,18.863087,73.320597,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
71,Loc. 70,18.860866,73.320123,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
72,Loc. 71,18.858396,73.319642,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
73,Loc. 72,18.856084,73.319835,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
74,Loc. 73,18.853144,73.320074,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
75,Loc. 74,18.850972,73.320221,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
76,Loc. 75,18.848392,73.320422,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
77,Loc. 76,18.845638,73.320615,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
78,Loc. 77,18.843393,73.320764,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
79,Loc. 78,18.840903,73.320947,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
80,Loc. 79,18.838216,73.321149,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
81,Loc. 80,18.83554,73.32135,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
82,Loc. 81,18.833131,73.321509,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
83,Loc. 82,18.832219,73.321973,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
84,Loc. 83,18.830967,73.322897,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
85,Loc. 84,18.828798,73.3245,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
86,Loc. 85,18.826609,73.326137,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
87,Loc. 86,18.824435,73.327689,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
88,Loc. 87,18.822592,73.329076,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
89,Loc. 88,18.820648,73.330574,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
90,Loc. 89,18.819053,73.331751,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
91,Loc. 90,18.816873,73.333396,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
92,Loc. 91,18.814688,73.334772,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
93,Loc. 92,18.812014,73.336291,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
94,Loc. 93,18.809615,73.337658,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
95,Loc. 100,18.798457,73.344101,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
96,Loc. 95,18.805554,73.34005,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
97,Loc. 94,18.808326,73.339072,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
98,Loc. 97,18.803935,73.342746,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
99,Loc. 99,18.800487,73.343986,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
100,Loc. 98,18.80228,73.342988,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
101,Loc. 108,18.78227,73.354878,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
102,Loc. 107,18.7837,73.353998,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
103,Loc. 106,18.785956,73.352289,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
104,Loc. 105,18.788479,73.350547,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
105,Loc. 104,18.790627,73.349055,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
106,Loc. 103,18.79291,73.347375,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
107,Loc. 101,18.796132,73.345518,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
108,Loc. 102,18.793679,73.34653,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
109,Loc. 96,18.804551,73.341803,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
110,Loc. 47,18.908196,73.338103,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
111,A2 Structure Khopoli End,18.781971,73.354529,110 Kv Khopoli Bhivpuri Tie Line 1 & 2
112,LOC112,18.715837,73.383884,110 Kv Khopoli Davdi & Bhira Davdi Lines
113,Loc. 116,18.722844,73.381175,110 Kv Khopoli Davdi & Bhira Davdi Lines
114,Loc. 117,18.724597,73.380528,110 Kv Khopoli Davdi & Bhira Davdi Lines
